system:index,date,ndvi_mean,.geo
20230104T112451_20230104T112448_T29SNC,2023-01-04,0.656434644761493,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230124T112341_20230124T112402_T29SNC,2023-01-24,0.6232242124768376,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230129T112229_20230129T112223_T29SNC,2023-01-29,0.6219753462182316,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230203T112301_20230203T113027_T29SNC,2023-02-03,0.5254293262879789,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230223T112111_20230223T112531_T29SNC,2023-02-23,0.4251040221914008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230315T112111_20230315T112415_T29SNC,2023-03-15,0.3942178824430404,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230320T112119_20230320T112833_T29SNC,2023-03-20,0.3692569483834373,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230325T112111_20230325T112155_T29SNC,2023-03-25,0.3460656990068755,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230409T112119_20230409T112115_T29SNC,2023-04-09,0.2686517229842757,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230414T112111_20230414T112113_T29SNC,2023-04-14,0.24338141318239911,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230419T112119_20230419T112115_T29SNC,2023-04-19,0.22758620689655173,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230424T112111_20230424T112112_T29SNC,2023-04-24,0.2098950524737631,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230504T112111_20230504T112113_T29SNC,2023-05-04,0.18700890518596125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230514T112111_20230514T112113_T29SNC,2023-05-14,0.172342974499401,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230519T112119_20230519T112118_T29SNC,2023-05-19,0.1609403254972875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230623T112121_20230623T112116_T29SNC,2023-06-23,0.13633792193098246,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230628T112119_20230628T112118_T29SNC,2023-06-28,0.14648782209671726,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230703T112121_20230703T112118_T29SNC,2023-07-03,0.13436006372809348,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230713T112121_20230713T112520_T29SNC,2023-07-13,0.1314209472981988,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230723T112121_20230723T112117_T29SNC,2023-07-23,0.1234223897721685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230728T112119_20230728T112118_T29SNC,2023-07-28,0.13644495039843876,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230807T112119_20230807T112118_T29SNC,2023-08-07,0.13234831813895,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230812T112121_20230812T112234_T29SNC,2023-08-12,0.13765570105397637,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230817T112119_20230817T112816_T29SNC,2023-08-17,0.1526015228426396,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230822T112121_20230822T112720_T29SNC,2023-08-22,0.12293923692887423,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230827T112119_20230827T112117_T29SNC,2023-08-27,0.1391941391941392,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230901T112121_20230901T112426_T29SNC,2023-09-01,0.13297628156082633,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230926T112119_20230926T112608_T29SNC,2023-09-26,0.17708508845829823,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231001T112121_20231001T112716_T29SNC,2023-10-01,0.17835951134380454,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231006T112119_20231006T112113_T29SNC,2023-10-06,0.16587355540448676,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231011T112111_20231011T112813_T29SNC,2023-10-11,0.16043740819324304,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231125T112309_20231125T112312_T29SNC,2023-11-25,0.6447500358114884,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231230T112501_20231230T112455_T29SNC,2023-12-30,0.40486048604860486,"{""type"":""MultiPoint"",""coordinates"":[]}"
